date,open,high,low,close,volume,number of trades,NEO NEO
2018-04-01 00:00:00,49.91800000,50.54900000,49.88100000,50.02800000,8651.81500000,1022,77
2018-04-01 01:00:00,50.00000000,50.40000000,49.95000000,50.10000000,3498.45400000,534,82
2018-04-01 02:00:00,50.10000000,50.23600000,49.39400000,49.53200000,8813.60500000,1351,81
2018-04-01 03:00:00,49.50000000,49.80000000,49.39400000,49.59700000,5838.64400000,640,81
2018-04-01 04:00:00,49.59700000,49.95000000,49.45000000,49.45000000,3889.49200000,502,86
2018-04-01 05:00:00,49.44900000,49.81100000,49.38000000,49.71000000,7830.61500000,782,84
2018-04-01 06:00:00,49.61100000,49.70800000,49.01000000,49.32200000,9086.82500000,1176,89
2018-04-01 07:00:00,49.31200000,49.65000000,47.80000000,48.10000000,29290.60700000,2833,92
2018-04-01 08:00:00,48.03500000,48.44900000,47.65400000,47.74500000,12388.84900000,1381,93
2018-04-01 09:00:00,47.74500000,48.20100000,47.03000000,48.00000000,18754.31800000,2064,90
2018-04-01 10:00:00,48.03600000,48.14100000,47.23400000,47.40000000,6548.86400000,943,95
2018-04-01 11:00:00,47.40000000,47.53900000,46.81000000,46.88900000,14656.08100000,1313,95
2018-04-01 12:00:00,46.81000000,47.06500000,46.50100000,46.83300000,12357.66700000,1648,93
2018-04-01 13:00:00,46.83300000,46.90900000,45.60000000,46.22000000,24238.80700000,2757,90
2018-04-01 14:00:00,46.06800000,46.08200000,45.00000000,45.44900000,36170.96400000,3472,93
2018-04-01 15:00:00,45.44800000,45.70000000,44.69100000,44.90000000,23490.05900000,2073,89
2018-04-01 16:00:00,44.90000000,49.00000000,44.69100000,47.86800000,75739.22600000,7743,85
2018-04-01 17:00:00,47.86800000,48.20000000,47.50000000,47.87200000,25777.59300000,2360,89
2018-04-01 18:00:00,47.84700000,48.48000000,46.84000000,47.64900000,21782.31000000,2024,88
2018-04-01 19:00:00,47.74500000,48.98000000,47.57800000,48.10100000,26652.39300000,2667,85
2018-04-01 20:00:00,48.10100000,48.85000000,47.75100000,48.19200000,11960.17100000,1249,85
2018-04-01 21:00:00,48.14500000,48.35000000,47.07600000,47.55000000,12457.29900000,1349,83
2018-04-01 22:00:00,47.55100000,47.78200000,46.67900000,47.25100000,11280.70300000,1312,81
2018-04-01 23:00:00,47.32900000,47.40000000,46.82300000,47.25000000,7339.71400000,1035,80
2018-04-02 00:00:00,47.32400000,48.30000000,46.50000000,48.00000000,20784.68500000,2235,82
2018-04-02 01:00:00,48.03400000,48.32500000,47.10000000,47.34400000,14679.75200000,1381,85
2018-04-02 02:00:00,47.33700000,48.22400000,47.24700000,48.14500000,10823.50100000,1103,88
2018-04-02 03:00:00,48.14000000,48.30000000,47.60000000,47.94300000,8216.09100000,881,83
2018-04-02 04:00:00,47.91100000,48.14000000,46.99900000,47.06500000,8745.56400000,1015,88
2018-04-02 05:00:00,47.11100000,47.88000000,46.61500000,47.49600000,13403.50700000,1323,89
2018-04-02 06:00:00,47.49600000,47.95400000,47.18000000,47.23000000,6516.45800000,971,92
2018-04-02 07:00:00,47.34200000,48.85500000,47.19800000,48.70000000,19243.25600000,1768,92
2018-04-02 08:00:00,48.57200000,49.00000000,48.23500000,48.74900000,18790.01600000,1639,93
2018-04-02 09:00:00,48.67500000,49.10900000,48.50200000,49.09800000,13516.02800000,1236,91
2018-04-02 10:00:00,49.09800000,49.69100000,48.73200000,49.54000000,11597.96200000,1360,93
2018-04-02 11:00:00,49.61100000,50.50000000,48.90000000,49.35800000,25293.08600000,2798,89
2018-04-02 12:00:00,49.35800000,49.49900000,48.10000000,48.66300000,18723.57700000,1907,92
2018-04-02 13:00:00,48.66300000,49.52100000,48.64300000,49.23900000,10498.09300000,1348,91
2018-04-02 14:00:00,49.20000000,49.28300000,47.69500000,48.33200000,22994.48500000,2406,88
2018-04-02 15:00:00,48.33200000,49.58900000,48.28000000,49.00000000,17600.58900000,1844,89
2018-04-02 16:00:00,48.96300000,49.32700000,48.54100000,48.97500000,8723.78800000,1212,88
2018-04-02 17:00:00,48.97000000,48.97000000,48.26000000,48.47500000,10826.84600000,1398,88
2018-04-02 18:00:00,48.47500000,48.87400000,48.20000000,48.42200000,8380.54800000,1248,90
2018-04-02 19:00:00,48.42500000,48.88000000,48.25000000,48.59500000,9300.64900000,887,86
2018-04-02 20:00:00,48.48300000,48.60000000,47.60200000,47.88900000,12799.08500000,1516,84
2018-04-02 21:00:00,47.86500000,48.48900000,47.75200000,48.17400000,7297.64600000,1034,81
2018-04-02 22:00:00,48.12900000,48.82000000,48.10000000,48.48900000,10989.99800000,1111,82
2018-04-02 23:00:00,48.38900000,48.88000000,48.25000000,48.81600000,11283.73100000,1052,83
2018-04-03 00:00:00,48.79800000,49.12500000,48.49500000,48.82100000,10365.02500000,1292,82
2018-04-03 01:00:00,48.72800000,48.83700000,48.40000000,48.44700000,3919.79200000,625,81
2018-04-03 02:00:00,48.44700000,49.45200000,48.44700000,49.40200000,10000.24900000,1237,86
2018-04-03 03:00:00,49.45200000,49.71600000,49.01000000,49.50000000,13624.11100000,1332,84
2018-04-03 04:00:00,49.59900000,51.50100000,49.52600000,51.28000000,44653.80000000,3807,86
2018-04-03 05:00:00,51.34100000,51.70000000,50.50000000,51.54900000,23871.79700000,2599,88
