username,date,retweets,favorites,text
BlockerNL,2018-05-04 14:30,10,30,"Sterke, kritische en visionaire toespraak van V. Dramaliev, van @ aeternity. Veelbelovend hybrid PoW/PoS smart contract platform met sterke governance structuur. # Blockchain # Chainges @ _chainges $ AE $ CRYPTOpic.twitter.com/SAbZ09Dx4S"
coin_post,2018-05-02 10:11,17,43,"仮想通貨ランキングTOP50を更新。 上位50銘柄の特徴解説のほか、前週比の順位変動と最新ニュースを網羅しています。 TRON(TRX)14→9位 ERC20トークンから独立するメインネット導入を5月末に控える Aeternity(AE)41→27位 記録的な取引高を記録し、7日間チャートで約168％上昇 http://coinpost.jp/?p=8123 pic.twitter.com/dboR2Yb7ag"
Dmitriysz,2018-04-30 02:46,7,18,"Day 27: Aeternity $ AE # cryptocurrency State channels. Transactions get processed directly between parties and only need to be verified by the blockchain in case of a dispute. There is that *small* issue of how they screwed @ zack_bitcoin. https://github.com/zack-bitcoin/amoveo/blob/master/docs/why_I_left.md …"
russianblue2009,2018-04-29 06:40,14,21,"NANJCOINが、海外ニュースでも高騰株として取り上げられていますね。 » Why Are These 3 Altcoins Mooning? – NANJCOIN (NANJ), Aeternity (AE), PrimeCoin (XPM) | Crypto Gazette https://www.stocksgazette.com/2018/04/28/why-are-these-3-altcoins-mooning-nanjcoin-nanj-aeternity-ae-primecoin-xpm/amp/ …"
overheardcoffee,2018-04-29 06:12,1,13,"$ AE # aeternity `MOARRRR` Edition - AE wants more - PRICE EXPLORATION BISHES - I took lots of profits. LET IT RIDEEEEEE pic.twitter.com/vVgiQ7b13p"
totravelishuman,2018-04-29 04:49,1,6,"$ ae new all time high. I had the chance of meeting some of the # aeternity developers on the @ WebSummit and it was a great pleasure. Congratulations on a fine project"
cryptoSqueeze,2018-04-29 04:07,10,63,"$ AE +287% Haven't seen anyone talking about it at all on twitter # Aeternity # Mainnetpic.twitter.com/zZGmt6hH9F"
overheardcoffee,2018-04-29 03:48,4,41,"$ AE # aeternity `To infinity` Edition - We have just entered the first price exploration of the season - Alt season is my favorite season pic.twitter.com/kq2jaWvKaf"
abzTRDR,2018-04-28 14:11,2,11,"Aeternity $ AE enters status! The Smart-Contract platform has increased in value by around 300% in 2 week.s pic.twitter.com/bt3dEsgM2q"
kei_obata,2018-04-28 03:03,2,7,"ブロックチェーン3.0プラットフォーム`æternity`は、PoW(Cuckoo Cycle)、PoSハイブリッドのコンセンサスアルゴリズムを採用し、オンチェーンOracle、オフチェーンState Channelでのスマートコントラクト実行などの特徴を持ちます。AEはマイニング報酬、æppsの利用などに充てられます。 # AE # aeternity https://twitter.com/aeternity/status/989861277072805888 …"
cryptoSqueeze,2018-04-24 06:23,4,30,"$ ETH hitting 0.074 and approaching resistance. Locked in profits. $ DASH +25%. Still hodling $ REP +32% Still hodling $ AE + 30% Still hodling. Will hodl this for 1 to 2 years. # Ethereum # Etherium # Dash # Augur # Aeternity"
kei_obata,2018-04-24 02:43,2,9,"æternityはæppsをæternityテストネットに移行中。また、デスクトップアプリにモバイルから接続する際のユーザビリティを改善し、複数のデバイスにモバイルから接続、管理が可能です。 # AE # aeternity https://twitter.com/aeternity/status/988433870264684550 …"
kei_obata,2018-04-19 13:31,3,7,"æternityのスマートコントラクトは、オンチェーンではなくState Channelsで実行されます。また、`Base aepp(https://identity.aepps.com/#/ )`ではユーザーがIDの中に複数のアカウントを持ち、アイデンティティを自身で管理することが可能です。 # AE # aeternity https://twitter.com/aeternity/status/986590166998495233 …"
kei_obata,2018-04-10 09:58,5,11,"æternityではQRコードを利用して、スマートフォンから秘密鍵で署名し、デスクトップのアプリケーションに接続できます。 また、トランザクション一覧にフィルタリング(例えばOracleのトランザクションとか)をかけることが可能です。 # AE # aeternity https://twitter.com/aeternity/status/983298477596782593 …"
