username,date,retweets,favorites,text
btc_pred,2018-05-31 23:01,0,0,"# ﾃﾞｨｰﾌﾟﾗｰﾆﾝｸﾞ による # BTC の24時間変動率の # 予測 ！ # ﾊｰﾍﾞｽﾄ 以上の # XEM # NEM 保有者限定で当予測を取得できる # API を開発しています。さらにAPIのSecret_Keyを # nemche にて販売予定です！pic.twitter.com/tDOvCN06rc"
NEMTicker,2018-05-31 23:00,0,0,"# XEM Price is 0.00003259 (-0.00000002) # BTC / 0.242808 (+0.00014) # USD. Market rank is 15. # nem # bitcoin # blockchain"
CryptoInvest18,2018-05-31 22:58,1,11,"Whats the point to add @ Ripple in your crypto polls? # ripple # xrp # bitcoin # btc # nem # xem # miota # iota # verge # xvg # tron # trx # litecoin # ltc # ethereum # eth # stellar # monero # xrm # kin # dash # cardano # ada # cryptos # cryptocurency # electra # eca # digibyte # dgb # ico # money"
xMzUrEPYIgaYU27,2018-05-31 22:46,0,1,"また７時かい 刷り込みでもしたいのかな"
mgerdy0w,2018-05-31 22:21,0,0,"【NEMXEM】出来高やばいくらい減ってて笑えるもはや廃墟じゃん 【不動産・FX・お金】マネロビ http://bitme.site/posts/92877"
bodakankaio,2018-05-31 22:03,0,0,"NEMがマーケティング戦略のため1500万XEM約2.6億円の資金調達投票を実施へhttp://bitme.site/posts/93709"
XemJpyZaif,2018-05-31 21:30,0,0,"XEM to JPY Price ¥26.7996 # xem # nem # ネム # zaif"
Cryptomasteryo1,2018-05-31 21:03,2,5,"What is HODl really........ # crypto # cryptocurrency # monero # xmr # dash # verge # xvg # deeponion # onion # zcash # aeon # navcoin # nav # Komodo # airdrop # pivx # stellar # xlm # nem # xem # ripple # xrp # tron # trx # altcoins # bitcoin # btc # zencash # cardano # binance # btcp # zcl # zen # hodlers # hodlhttps://twitter.com/cryptomasteryo1/status/975050449291304960 …"
SwissEtage,2018-05-31 20:14,4,22,"# IOTA Keeps Climbing, Outperforming Other Major Cryptos IOTA = strong buy Sell = # Bitcoin # BTC # Ethereum # ETH # Ripple # XRP # BCH # EOS # Litecoin # LTC # Cardano # ADA # Stellar # XLM # NEO # Tronix # Vechain # VEN # Monero # XMR # NEM # XEM # DASH # BNB # Vergehttps://www.forbes.com/sites/cbovaird/2018/05/31/iota-keeps-climbing-outperforming-other-major-cryptos/#efd05412b09b …"
xem_price,2018-05-31 19:00,0,0,"NEM 現在の価格: 26.8168 １時間前からの変動率: -0.01% 過去24時間の高値: 26.97 過去24時間の安値: 25.48 過去24時間の加重平均: 26.4818"
suuudama_coin,2018-05-31 18:17,0,1,"最終的に写ルンですの進化は「写ルンです360」で止まりました。"
akisys2000,2018-05-31 17:10,0,2,"イケダハヤト氏は去年の早い時期からNEM/XEMを推していたので、寄付して頂けるのだと思っている。 @ IHayato # イケダハヤト"
venturetimes_jp,2018-05-28 02:24,9,10,"【仮想通貨ニュース】 政治×トークンエコノミーを目指すPoliPoli、NEMブロックチェーンを用いた開発強化のためLCNEMと事業提携 http://venturetimes.jp/cryptocurrency/coin/nem/37001.html … # PoliPoli # LCNEM # NEM $ xem # 仮想通貨 # 仮想通貨ニュース # ブロックチェーン"
XemJpyZaif,2018-05-31 22:00,0,0,"XEM to JPY Price ¥26.87 # xem # nem # ネム # zaif"
TanaPicks,2018-05-31 21:52,0,0,"Bitcoin&NEM相場情報(Zaif) btc/jpy ( https://zaif.jp/trade_btc_jpy  ) 時間 06:24 午前 価格 824245 xem/btc ( https://zaif.jp/trade_xem_btc  ) 時間 02:12 午前 価格 0.0000325 xem/jpy ( https://zaif.jp/trade_xem_jpy  ) 時間 06:19 午前 価格 26.7694"
xem_price,2018-05-31 21:00,0,0,"NEM 現在の価格: 26.7003 １時間前からの変動率: -0.3% 過去24時間の高値: 26.97 過去24時間の安値: 25.6999 過去24時間の加重平均: 26.5163"
btc_pred,2018-05-31 19:01,0,0,"# ﾃﾞｨｰﾌﾟﾗｰﾆﾝｸﾞ による # BTC の24時間変動率の # 予測 ！ # ﾊｰﾍﾞｽﾄ 以上の # XEM # NEM 保有者限定で当予測を取得できる # API を開発しています。さらにAPIのSecret_Keyを # nemche にて販売予定です！pic.twitter.com/hTsEcKExxi"
NEMTicker,2018-05-31 19:00,0,0,"# XEM Price is 0.00003263 (+0.00000000) # BTC / 0.246929 (-0.00010) # USD. Market rank is 15. # nem # bitcoin # blockchain"
nem581226,2018-05-31 15:57,5,24,"コインチェックが全面再開したら！まずは。NEM・XEMの価格を戻してもらいたいですね！ 最低でも88円には戻してもらいたい！ # コインチェック # 仮想通貨 # NEM # BTC # XRP"
mikomona22,2018-05-31 14:25,0,16,"かっこいいnemグッズが買えるXEM専さん（ @ nem_raaa）で キャップとタヌ神シールを購入しました。 このカジュアルなきれいめコーディネートでデイサービスへ行ったところ、 スタッフさんに大好評だったそうで、家でもご機嫌です ちなみに誰もnemの意味には気づきませんでした…。 # XEM専 # NEM決済pic.twitter.com/7fyWbqP7SY"
nem_raaa,2018-05-31 12:51,0,24,"Harvested 6.6 XEM Harvested # NemHarvestMonitor # NEM # ハーベスト # harvest"
maminem2,2018-05-31 07:11,2,11,"ニューヨークで開催されたコンセンサスNEMブロックチェーンのハイライトがみれるよ٩(๑❛ᴗ❛๑)۶ # NEM # XEM https://twitter.com/inside_nem/status/1001909816707702790 …"
NEM_MIDDLEEAST,2018-05-30 16:19,5,14,"Hello NEMbers, help us to get $ XEM listed at CryptalDash! Please vote for # NEM! https://www.cryptaldash.com/new-coin-listing?ref=cnVlbAY29pbjI3OTE3NUBjcnlwdGFsZGFzaC5jb20bWluZG8&medium=telegram …pic.twitter.com/sWIfEG3GAv"
nem581226,2018-05-30 12:01,0,17,"ちなみに。私は！380万XEMを25円でガチホ中。 3年ぐらいは眠らせます！ ビットコインは，20ビットコインを。13000円でガチホ中。500万までホールドします。 # 仮想通貨 # NEM # BTCpic.twitter.com/SyFgumffHC"
showelX,2018-05-30 11:16,1,4,"NEMをモチーフにした丼を作ってみました！その名もネムトロ丼！ 青い部分をどう表現するか難しかったけどそれっぽくできた気がする！ 写真を撮った後はといた生卵とごま油と醤油をかけて頂きました！ 美味しかった # NEM # XEM # 仮想通貨pic.twitter.com/uLgyPbBpMb"
TrendStream,2018-05-30 04:01,2,19,"ハチミツ感グイグイきた！今のところNEM決済できるカステラ1位の旨さ！（2位以下は…まだない） # nemcafe でしくじった人は→ @ shino_kanon ところで # XEM で買え pic.twitter.com/Aba3SiqMnM"
NEMIndiana,2018-05-29 17:46,8,28,"The ProximaX ICO has successfully closed & distributed. @ ProximaXio will list its XPX token on exchanges like @ KryptonoEx & others starting this June, which will be the first access to the token for many buyers in some countries. # NEM # Blockchain # XEM # ProximaX # XPX # NEMIndianapic.twitter.com/N72mwmOCuN"
cryptoZZ,2018-05-29 14:31,0,15,"xemで仕入れ、xemで売り買い、nemに触れ、コーヒーを飲み、半年でここまでのことが実現したので、コレがスタンダード化するのは、、普通にあるのう"
nem581226,2018-05-29 13:04,12,20,"仮想通貨は、”証券”ではなく”通貨”であるどうでしょう。皆さまの意見を聞かせて下さい。 いいね拡散をお願いします。 仮想通貨 # ネム # 億り人 # NEO # NANJ # BTC # BCH # ETH # ETC # LSK # FCT # XRP # XEM # XMR # REP # ホワイトハッカー # QRL # NEM # XEM"
Morpheus_Labs_,2018-05-29 00:12,6,25,"Here’s a picture from our last Meet-Up with # NEM in Seoul, Korea! Thanks everyone who attended! # morpheuslabs $ mitx $ xem # partnershippic.twitter.com/7W0ipY5eHr"
na_bts1908,2018-05-27 15:42,22,58,"[Thính đêm phia] Cả ngày hôm nay các cậu chắc cũng khá mệt mỏi và căng thẳng rồi đúng không? V thì ghé qua đây xem mấy pic mà 1 con fanti như tui cap và ghép lại để xả xì chét nhá ------- Đừng ném đá ném gạch tội e nó # PremiosMTVMiaw # MTVLAKPOPBTS @ BTS_twtpic.twitter.com/6MCVtdUt2e"
55brera,2018-05-26 11:43,1,14,"NEM決済導入ガイド 手間と時間が膨大にかかってる (*_*) @ tipnem tip @ nembear 39 xem # nemcafe # まさか無料"
punto2003debu,2018-05-25 13:06,1,13,"なんと！！ 白川でxem決済最先端だぬ。 # nem # xem # ネムhttps://twitter.com/bitdays_jp/status/999951444923985920 …"
CryptoInvest18,2018-05-31 20:41,171,408,"The markets are back growing again! Whats the best altcoin to buy today?? 24h vote! # verge # xvg # tron # trx # ripple # xrp # electra # eca # miota # iota # stellar # monero # cardano # ada # nem # xem # ethereum # eth # bitcoin # btc # crypto # cryptocurrency # ripple # xrp # eos # neo # ico # bytecoin"
SpectroPrince,2018-05-31 19:32,8,10,"# Bitcoin # btc # lindacoin # xvg # trx # verge # cryptocurrency # crypto # masternode # eth # ethereum # Litecoin # ltc # eos # monero # xmr # pcn # ocn # eca # electracoin # banca # TRX教団 # xem # nem # LindaX # xrp # ripple # stratis # neo # cardano # ada # xlm # stellar # iotahttps://twitter.com/Lindaproject/status/1002258676084760576 …"
Crypto_Goo,2018-05-31 18:01,0,0,"# NewEconomyMovement-Bitcoin $ NEM.X $ XEM.X # NEM $ NEM # BTC # LTC # ETH # XRP # BCH # ADA # XLM # NEO # IOTA # XMR # DASH # XEM # TRX # TA # Crypto $ BTC $ LTC $ ETH $ XRP $ BCH $ ADA $ XLM $ NEO $ IOTA $ XMR $ DASH $ XEM $ TRX $ TA $ Cryptopic.twitter.com/SZvXVpxK9E"
ViacoinMAN,2018-05-31 17:59,2,6,"Yes! It is! The Super Authentic Bitcoin MAN stickers! Maybe if you zoom in enough on the NEM monster you can send @ soco_illusts some $ XEM # coimon @ NeerajKA you should stick some on a table when @ realDonaldTrump invites you to the Whitehouse Coimon Get!pic.twitter.com/T4SPgcJVz3"
E_P8888,2018-05-31 12:31,2,6,"HB Wallet運営 WITH Coinをスキャムコイン扱い WITH coinに対するHB Walletでの取り扱いついて | bacoor株式会社 https://bacoor.co/archives/17715/  ライン@【http://goo.gl/iRPPY9 】 # BTC # ETH # XRP # NEM # XEM # ADA # ADK # TRX # ICO # インサイダー # 上場 # withcoin # ウィズコイン"
NEM_MIDDLEEAST,2018-05-31 08:22,1,3,"Checkout the Highlight of the NEM Team at the Future Blockchain Summit 2018. https://youtu.be/UyoNn2CeUPQ  To know more about the latest news on NEM. Follow us on Twitter: @ NEM_MIDDLEEAST You can also follow us on our Facebook Page: @XEMMiddleEast # NEM # XEM # Catapult"
maminem2,2018-05-31 07:34,0,10,"日本人対象になんですね！ どんな感じなのか当日の様子も気になります٩(๑❛ᴗ❛๑)۶がんばってください。 # NEM # XEM https://twitter.com/cryptozz/status/1001831847347699713 …"
TrendStream,2018-05-31 06:59,0,5,"XEM専さん楽しそう"
tznhy0203,2018-05-31 06:17,1,6,"HitbtcにNEMが入っていました(^^) GOXから約4ヶ月 心配していただいた方々、ありがとうございました Dear Trader, This is to confirm that your deposit in amount of 〇〇〇 XEM has been successfully credited to your account. We apologise for the delay and inconvenience experienced."
AlexChoOfficial,2018-05-31 06:10,1,0,"I've been a bullish proponent on cryptocurrency for a while. If there's one thing that seems to work, it's HODL, HODL, and HODL for the good crypto currencies. # Cryptocurrency # Blockchain $ BTC $ ETH $ BCH $ MIOTA $ LTC $ XRP $ DASH $ BTG $ XMR $ NEM $ ADA $ XEM $ EOS $ BTG $ NEO $ QTUM"
KMTnoHako,2018-05-31 04:28,1,7,"初nemche https://www.nemche.com/item/3pWSfgFcRiXg9Yq7XNKG … # nem # xem # nemche @ nemche_teamさんから"
Up_Income,2018-05-30 23:13,0,21,"Harvested 0.2 XEM Harvested いぇい！ # NemHarvestMonitor # NEM # ハーベスト # harvest"
yorugatta,2018-05-30 14:50,0,4,"酒飲むにはいいかもーです（もっとも飲めませんが…）"
2jp_7,2018-05-30 03:03,3,4,"Swap時に書いてあり、移動してる人はほぼいないということかもしれないが、注意喚起です。PundiXでNEMトークンの方、急ぎご一読を。 I just published “NPXSXEMとPXSXEM保有の皆さんへ、5月のトークンアンロックについて” https://medium.com/pundix/may-tokens-unlocked-for-npxsxem-and-pxsxem-holders-jp-e612b6544d8d … # PundiX # NEM $ XEM $NPXSXEM $ PXSXEM # cryptocurrency"
zephyr_3_,2018-05-29 04:48,0,4,"ステッカー当たってる！！！w ありがとうございます！ これPCに付けてBTCフルレバロングぶち込みますね！！！"
nem_xem_bot,2018-05-28 23:34,1,2,"XEM-JPYが －5％に下落中。 現在の価格 「0.00003204(-2.76) xem-btc」 「24.8500(-5.15) xem-jpy」 ⇒http://kasoutuka-navi.com/nem/ # XEM # NEM # ネム # 仮想通貨なび # ZAIF # ザイフ # coincheck # コインチェック # bitFlyer # ビットフライヤー"
noyle23,2018-05-28 09:32,1,6,"XEM が下がりすぎ。 底かな。これ以上下がったら通貨の価値ないなー コインチェックが6月からまた営業するんだっけ⁇ その影響もあるのかな⁇ # NEM # ネム # XEM pic.twitter.com/pGKQ0wBJA7"
