date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-01 00:00:00,6922.00000000,7040.00000000,6922.00000000,6971.11000000,1183.27619500,6881,80.0,0.1285714285714286
2018-04-01 01:00:00,6980.01000000,7049.98000000,6968.26000000,7000.01000000,580.70543800,4373,65.0,0.017499999999999998
2018-04-01 02:00:00,7001.01000000,7014.00000000,6892.00000000,6924.79000000,873.39777800,5565,76.0,0.003692307692307693
2018-04-01 03:00:00,6929.00000000,6950.00000000,6895.12000000,6922.12000000,591.93048700,4300,66.0,0.07727513227513227
2018-04-01 04:00:00,6926.00000000,6969.00000000,6913.57000000,6927.12000000,499.84725900,3761,78.0,-0.018939393939393947
2018-04-01 05:00:00,6927.01000000,6960.00000000,6907.00000000,6914.99000000,603.30355300,4508,80.0,0.275
2018-04-01 06:00:00,6914.99000000,6918.16000000,6810.00000000,6831.31000000,1589.30243000,9072,81.0,-0.11111111111111112
2018-04-01 07:00:00,6831.31000000,6835.06000000,6670.00000000,6713.81000000,2893.79015700,18171,83.0,0.14166666666666666
2018-04-01 08:00:00,6713.81000000,6745.43000000,6690.12000000,6702.01000000,1306.49683400,9493,85.0,0.0625
2018-04-01 09:00:00,6702.00000000,6775.00000000,6623.97000000,6763.86000000,2258.27563100,14242,90.0,-0.4000000000000001
2018-04-01 10:00:00,6763.84000000,6770.00000000,6657.02000000,6707.03000000,1174.00705400,7068,75.0,0.058333333333333334
2018-04-01 11:00:00,6703.00000000,6711.72000000,6643.70000000,6685.10000000,1024.50601700,6281,84.0,0.007905733722060253
2018-04-01 12:00:00,6688.53000000,6735.00000000,6654.99000000,6684.99000000,1346.85209400,6710,59.0,0.03229437229437228
2018-04-01 13:00:00,6684.99000000,6685.90000000,6525.00000000,6543.97000000,2854.19924700,17032,100.0,0.08055555555555556
2018-04-01 14:00:00,6543.97000000,6543.97000000,6430.00000000,6500.00000000,3456.07516900,23632,86.0,0.14487847222222222
2018-04-01 15:00:00,6500.00000000,6542.00000000,6445.00000000,6445.00000000,1763.69501200,13129,98.0,0.0
2018-04-01 16:00:00,6445.00000000,6869.00000000,6432.65000000,6783.71000000,6917.52282000,35585,74.0,0.1988095238095238
2018-04-01 17:00:00,6783.70000000,6865.00000000,6752.00000000,6824.99000000,2877.22978800,15089,82.0,0.10969967532467532
