date,open,high,low,close,volume,number of trades,VeChain VEN,sentiment
2018-04-01 00:00:00,0.00034297,0.00035198,0.00034148,0.00034629,119252.00000000,1354,7.0,0.022727272727272724
2018-04-01 01:00:00,0.00034566,0.00034722,0.00033810,0.00033956,77457.00000000,1014,7.0,0.0
2018-04-01 02:00:00,0.00033957,0.00034280,0.00033957,0.00034125,14983.00000000,253,7.0,0.0
2018-04-01 03:00:00,0.00034057,0.00034321,0.00033981,0.00034205,30691.00000000,269,4.0,0.0
2018-04-01 04:00:00,0.00034254,0.00034254,0.00033876,0.00033915,31125.00000000,297,0.0,0.10714285714285714
2018-04-01 05:00:00,0.00033915,0.00034318,0.00033855,0.00034257,22886.00000000,241,11.0,0.0
2018-04-01 06:00:00,0.00034318,0.00034447,0.00034160,0.00034169,25997.00000000,423,3.0,0.17045454545454544
2018-04-01 07:00:00,0.00034169,0.00034312,0.00033450,0.00033583,83368.00000000,720,9.0,0.0
2018-04-01 08:00:00,0.00033682,0.00033799,0.00033536,0.00033686,37811.00000000,417,3.0,0.0
2018-04-01 09:00:00,0.00033716,0.00033839,0.00033566,0.00033839,51965.00000000,372,0.0,0.08611111111111111
2018-04-01 10:00:00,0.00033812,0.00034196,0.00033781,0.00034040,24022.00000000,343,3.0,0.0
2018-04-01 11:00:00,0.00034106,0.00034182,0.00033450,0.00033500,48091.00000000,384,8.0,0.0
2018-04-01 12:00:00,0.00033466,0.00034064,0.00033210,0.00033940,63857.00000000,730,2.0,0.0
2018-04-01 13:00:00,0.00033881,0.00034083,0.00033384,0.00033384,71245.00000000,610,2.0,-0.04464285714285714
2018-04-01 14:00:00,0.00033484,0.00033716,0.00033004,0.00033301,273969.00000000,1321,2.0,0.0
2018-04-01 15:00:00,0.00033301,0.00033360,0.00033015,0.00033053,64483.00000000,584,0.0,0.0
2018-04-01 16:00:00,0.00033055,0.00033416,0.00032896,0.00033335,159403.00000000,995,6.0,0.0
2018-04-01 17:00:00,0.00033335,0.00033862,0.00033214,0.00033268,95751.00000000,678,4.0,1.0
2018-04-01 18:00:00,0.00033359,0.00033461,0.00033064,0.00033208,36334.00000000,392,11.0,0.0
2018-04-01 19:00:00,0.00033161,0.00033348,0.00032936,0.00032940,54373.00000000,495,5.0,0.0
2018-04-01 20:00:00,0.00032940,0.00033330,0.00032800,0.00033108,54783.00000000,443,5.0,0.0
2018-04-01 21:00:00,0.00033109,0.00033372,0.00032854,0.00032899,104107.00000000,321,6.0,0.0
2018-04-01 22:00:00,0.00032899,0.00032999,0.00032751,0.00032756,45632.00000000,281,6.0,0.0
2018-04-01 23:00:00,0.00032755,0.00032860,0.00032366,0.00032777,62530.00000000,619,13.0,0.475
2018-04-02 00:00:00,0.00032773,0.00032774,0.00032201,0.00032479,42710.00000000,547,3.0,0.08
2018-04-02 01:00:00,0.00032469,0.00032634,0.00032200,0.00032486,30575.00000000,417,6.0,0.0
2018-04-02 02:00:00,0.00032484,0.00032605,0.00032300,0.00032302,34011.00000000,491,10.0,0.0
2018-04-02 03:00:00,0.00032342,0.00032765,0.00032302,0.00032309,52084.00000000,470,7.0,0.0
2018-04-02 04:00:00,0.00032308,0.00032557,0.00032200,0.00032515,22862.00000000,403,11.0,0.0
2018-04-02 05:00:00,0.00032501,0.00033708,0.00032467,0.00033521,255484.00000000,1496,3.0,0.10520833333333332
2018-04-02 06:00:00,0.00033521,0.00043890,0.00033501,0.00040942,5397214.00000000,28545,100.0,0.14583333333333334
2018-04-02 07:00:00,0.00041084,0.00042130,0.00039505,0.00040760,2743559.00000000,12479,40.0,0.0
2018-04-02 08:00:00,0.00040605,0.00042300,0.00040600,0.00042052,1482865.00000000,6630,43.0,0.0
2018-04-02 09:00:00,0.00042052,0.00042599,0.00039357,0.00039368,1519661.00000000,8386,49.0,0.0
2018-04-02 10:00:00,0.00039357,0.00039697,0.00038319,0.00039079,866623.00000000,5691,15.0,0.0
2018-04-02 11:00:00,0.00039089,0.00039180,0.00038186,0.00038640,464234.00000000,3709,11.0,0.0
2018-04-02 12:00:00,0.00038650,0.00039300,0.00038200,0.00038350,388533.00000000,2662,14.0,1.0
2018-04-02 13:00:00,0.00038350,0.00039292,0.00038350,0.00038850,345835.00000000,2769,11.0,0.0
2018-04-02 14:00:00,0.00038898,0.00039173,0.00038241,0.00038698,298753.00000000,2117,14.0,0.0
2018-04-02 15:00:00,0.00038699,0.00038750,0.00037250,0.00037253,514306.00000000,3578,14.0,0.0
2018-04-02 16:00:00,0.00037273,0.00037770,0.00036860,0.00037079,449382.00000000,2966,5.0,0.0
2018-04-02 17:00:00,0.00037070,0.00039010,0.00036876,0.00037579,880189.00000000,5823,5.0,0.0
2018-04-02 18:00:00,0.00037654,0.00038356,0.00037442,0.00037821,499891.00000000,3740,11.0,0.0
2018-04-02 19:00:00,0.00037821,0.00038900,0.00037800,0.00038345,339546.00000000,2886,10.0,0.0
2018-04-02 20:00:00,0.00038345,0.00038379,0.00037800,0.00038200,233305.00000000,1367,15.0,0.0
2018-04-02 21:00:00,0.00038200,0.00038499,0.00037500,0.00037670,181593.00000000,1661,3.0,0.0
2018-04-02 22:00:00,0.00037650,0.00037877,0.00037250,0.00037754,170091.00000000,1525,9.0,0.0
2018-04-02 23:00:00,0.00037751,0.00038780,0.00037571,0.00038637,200241.00000000,1670,12.0,0.0
2018-04-03 00:00:00,0.00038637,0.00039000,0.00037951,0.00038054,221707.00000000,2013,9.0,0.0
2018-04-03 01:00:00,0.00038054,0.00040390,0.00037896,0.00039205,774773.00000000,4980,6.0,0.0
2018-04-03 02:00:00,0.00039237,0.00041499,0.00038714,0.00041329,1498704.00000000,8512,15.0,0.0
2018-04-03 03:00:00,0.00041328,0.00042369,0.00040633,0.00041273,1352965.00000000,8567,22.0,0.0
