date,open,high,low,close,volume,number of trades,Enigma ENG,sentiment
2018-04-01 00:00:00,0.00020853,0.00020853,0.00020500,0.00020606,97646.00000000,151,27.0,0.0
2018-04-01 01:00:00,0.00020614,0.00020751,0.00020548,0.00020650,58770.00000000,169,0.0,0.0
2018-04-01 02:00:00,0.00020700,0.00020700,0.00020453,0.00020640,12440.00000000,143,27.0,0.0
2018-04-01 03:00:00,0.00020544,0.00020650,0.00020338,0.00020577,13040.00000000,126,0.0,0.0
2018-04-01 04:00:00,0.00020525,0.00020568,0.00020312,0.00020397,14711.00000000,205,29.0,0.0
2018-04-01 05:00:00,0.00020397,0.00020527,0.00020229,0.00020420,10122.00000000,141,0.0,0.0
2018-04-01 06:00:00,0.00020417,0.00020435,0.00020230,0.00020343,68610.00000000,195,26.0,0.0
2018-04-01 07:00:00,0.00020249,0.00020251,0.00019980,0.00020000,49478.00000000,340,0.0,0.6166666666666667
2018-04-01 08:00:00,0.00020018,0.00020213,0.00019923,0.00020031,43844.00000000,274,23.0,0.0
2018-04-01 09:00:00,0.00020031,0.00020087,0.00019923,0.00019959,44772.00000000,204,0.0,0.0
2018-04-01 10:00:00,0.00019931,0.00020156,0.00019923,0.00020010,16459.00000000,190,0.0,0.0
2018-04-01 11:00:00,0.00020020,0.00020158,0.00019926,0.00019926,27741.00000000,167,20.0,0.0
2018-04-01 12:00:00,0.00020003,0.00020003,0.00019876,0.00019922,76202.00000000,267,19.0,0.0
2018-04-01 13:00:00,0.00019942,0.00019947,0.00019603,0.00019735,68471.00000000,360,0.0,0.0
2018-04-01 14:00:00,0.00019753,0.00019893,0.00019538,0.00019718,126840.00000000,413,17.0,0.0
2018-04-01 15:00:00,0.00019722,0.00019949,0.00019648,0.00019756,35925.00000000,280,0.0,0.0
2018-04-01 16:00:00,0.00019777,0.00020049,0.00019777,0.00019897,53605.00000000,329,16.0,0.0
2018-04-01 17:00:00,0.00019898,0.00020688,0.00019898,0.00020324,34852.00000000,338,17.0,0.0
2018-04-01 18:00:00,0.00020324,0.00020553,0.00019898,0.00020032,46292.00000000,355,34.0,0.0
2018-04-01 19:00:00,0.00020031,0.00020324,0.00019948,0.00020195,48136.00000000,234,36.0,0.0
2018-04-01 20:00:00,0.00020195,0.00020278,0.00020128,0.00020223,29197.00000000,233,20.0,0.0
2018-04-01 21:00:00,0.00020217,0.00020514,0.00020134,0.00020227,47252.00000000,243,0.0,0.0
2018-04-01 22:00:00,0.00020232,0.00020333,0.00020117,0.00020117,55491.00000000,179,0.0,0.0
