date,open,high,low,close,volume,number of trades,Stratis STRAT,sentiment
2018-04-01 00:00:00,0.00053450,0.00053460,0.00053220,0.00053240,19408.96000000,299,0.0,0.10416666666666667
2018-04-01 01:00:00,0.00053250,0.00053480,0.00053230,0.00053460,20319.40000000,334,0.0,0.08399621212121212
2018-04-01 02:00:00,0.00053460,0.00053480,0.00053290,0.00053410,38849.71000000,328,0.0,0.0
2018-04-01 03:00:00,0.00053420,0.00053420,0.00053160,0.00053160,39121.36000000,347,0.0,0.1
2018-04-01 04:00:00,0.00053250,0.00053300,0.00053010,0.00053300,44969.09000000,323,63.0,0.0
2018-04-01 05:00:00,0.00053300,0.00053310,0.00053020,0.00053250,39239.85000000,353,0.0,0.0
2018-04-01 06:00:00,0.00053250,0.00053260,0.00052570,0.00052720,61562.79000000,453,0.0,0.0
2018-04-01 07:00:00,0.00052700,0.00052890,0.00052100,0.00052190,40109.84000000,566,0.0,0.0
2018-04-01 08:00:00,0.00052140,0.00052740,0.00052110,0.00052270,23550.03000000,355,0.0,0.0
2018-04-01 09:00:00,0.00052270,0.00053750,0.00051840,0.00051920,27231.46000000,762,0.0,0.0
2018-04-01 10:00:00,0.00052010,0.00052260,0.00051840,0.00052020,18513.92000000,404,0.0,0.0
2018-04-01 11:00:00,0.00052030,0.00052050,0.00051550,0.00051820,24716.89000000,448,0.0,0.0
2018-04-01 12:00:00,0.00051880,0.00052000,0.00051560,0.00051690,48249.82000000,367,40.0,0.4352272727272727
2018-04-01 13:00:00,0.00051730,0.00051760,0.00050510,0.00050630,54518.44000000,779,0.0,0.0
2018-04-01 14:00:00,0.00050700,0.00050710,0.00050200,0.00050630,24942.80000000,563,0.0,0.0
2018-04-01 15:00:00,0.00050670,0.00050680,0.00050230,0.00050470,49531.15000000,445,70.0,0.0
2018-04-01 16:00:00,0.00050450,0.00051800,0.00050230,0.00051050,51022.44000000,645,0.0,0.5208333333333333
2018-04-01 17:00:00,0.00051050,0.00051370,0.00050640,0.00050970,33232.91000000,456,0.0,0.0
2018-04-01 18:00:00,0.00050960,0.00051230,0.00050620,0.00050690,51931.58000000,414,37.0,0.0
2018-04-01 19:00:00,0.00050700,0.00051200,0.00050620,0.00051030,46549.68000000,409,39.0,0.5
2018-04-01 20:00:00,0.00051100,0.00051160,0.00050890,0.00051080,60098.76000000,401,0.0,0.0
2018-04-01 21:00:00,0.00051070,0.00051160,0.00050380,0.00050520,44764.86000000,359,0.0,0.0
2018-04-01 22:00:00,0.00050550,0.00050750,0.00048440,0.00048640,107901.83000000,1618,0.0,-0.2
2018-04-01 23:00:00,0.00048690,0.00049600,0.00048640,0.00049420,24350.18000000,673,0.0,0.2125
2018-04-02 00:00:00,0.00049420,0.00049580,0.00048260,0.00048970,65849.84000000,734,0.0,0.21428571428571427
2018-04-02 01:00:00,0.00048970,0.00049420,0.00048790,0.00048900,46857.35000000,412,0.0,0.0
2018-04-02 02:00:00,0.00049000,0.00049190,0.00048600,0.00048940,35597.45000000,398,0.0,0.0
2018-04-02 03:00:00,0.00048940,0.00048940,0.00048750,0.00048890,59720.91000000,442,0.0,0.0
2018-04-02 04:00:00,0.00048920,0.00049280,0.00048820,0.00049100,36537.23000000,401,61.0,0.0
2018-04-02 05:00:00,0.00049100,0.00049290,0.00049090,0.00049220,22432.31000000,389,0.0,0.0
2018-04-02 06:00:00,0.00049220,0.00049940,0.00049170,0.00049820,27930.49000000,517,0.0,0.0
2018-04-02 07:00:00,0.00049820,0.00050870,0.00049550,0.00050520,26096.55000000,656,0.0,0.1660714285714286
2018-04-02 08:00:00,0.00050530,0.00050780,0.00050110,0.00050600,38942.42000000,421,0.0,0.15435606060606058
2018-04-02 09:00:00,0.00050600,0.00051140,0.00050560,0.00051110,67921.14000000,482,0.0,0.0
2018-04-02 10:00:00,0.00051100,0.00053400,0.00050420,0.00051760,66635.03000000,1642,41.0,0.0
2018-04-02 11:00:00,0.00051750,0.00053040,0.00051700,0.00051970,26753.59000000,931,38.0,0.0
2018-04-02 12:00:00,0.00051980,0.00052610,0.00051700,0.00052200,40733.03000000,618,0.0,0.0
2018-04-02 13:00:00,0.00052210,0.00052500,0.00051760,0.00052330,86538.87000000,535,0.0,0.0
2018-04-02 14:00:00,0.00052350,0.00053240,0.00051920,0.00052530,83978.51000000,777,0.0,0.0
2018-04-02 15:00:00,0.00052430,0.00053000,0.00051870,0.00052820,45324.39000000,695,0.0,0.0
2018-04-02 16:00:00,0.00052830,0.00053270,0.00052800,0.00052880,79100.98000000,718,0.0,0.0
2018-04-02 17:00:00,0.00053080,0.00053080,0.00052230,0.00052330,32839.58000000,591,30.0,0.0
2018-04-02 18:00:00,0.00052340,0.00052600,0.00051950,0.00052400,46211.23000000,599,31.0,0.0
2018-04-02 19:00:00,0.00052400,0.00052500,0.00052000,0.00052070,64169.39000000,490,0.0,0.0
2018-04-02 20:00:00,0.00052110,0.00052120,0.00051380,0.00051440,33528.00000000,661,0.0,0.0
2018-04-02 21:00:00,0.00051410,0.00052270,0.00051410,0.00051590,30181.14000000,533,42.0,0.0
2018-04-02 22:00:00,0.00051630,0.00052200,0.00051400,0.00051960,44073.51000000,432,0.0,0.0
2018-04-02 23:00:00,0.00052030,0.00052100,0.00051390,0.00051400,37922.99000000,421,0.0,0.0
2018-04-03 00:00:00,0.00051690,0.00052100,0.00051380,0.00051570,23706.91000000,389,0.0,0.0
2018-04-03 01:00:00,0.00051580,0.00051960,0.00051560,0.00051770,29641.34000000,450,0.0,0.0
2018-04-03 02:00:00,0.00051830,0.00051900,0.00051390,0.00051680,29532.17000000,478,0.0,0.0
2018-04-03 03:00:00,0.00051680,0.00053900,0.00051670,0.00053600,63788.95000000,1119,0.0,0.0
2018-04-03 04:00:00,0.00053570,0.00053850,0.00053000,0.00053580,42538.94000000,796,56.0,0.0
2018-04-03 05:00:00,0.00053490,0.00053600,0.00053010,0.00053120,43253.35000000,523,0.0,0.0
2018-04-03 06:00:00,0.00053140,0.00053810,0.00053070,0.00053800,61507.68000000,646,0.0,0.0
2018-04-03 07:00:00,0.00053810,0.00054240,0.00053700,0.00054160,56197.20000000,760,0.0,0.0
2018-04-03 08:00:00,0.00054160,0.00054380,0.00053530,0.00053580,56152.44000000,701,41.0,0.0
2018-04-03 09:00:00,0.00053560,0.00053590,0.00053020,0.00053570,48147.05000000,773,0.0,0.0
2018-04-03 10:00:00,0.00053510,0.00053600,0.00052030,0.00052620,61409.76000000,831,0.0,0.0
2018-04-03 11:00:00,0.00052620,0.00053530,0.00052420,0.00053130,47294.51000000,757,0.0,0.0
2018-04-03 12:00:00,0.00053120,0.00053200,0.00052210,0.00052260,45081.57000000,661,0.0,0.0
2018-04-03 13:00:00,0.00052260,0.00052350,0.00052000,0.00052200,49973.02000000,759,0.0,0.0
2018-04-03 14:00:00,0.00052230,0.00053120,0.00052160,0.00052850,36788.49000000,606,57.0,0.0
2018-04-03 15:00:00,0.00052890,0.00053260,0.00052340,0.00052540,53164.27000000,597,29.0,0.0
2018-04-03 16:00:00,0.00052730,0.00053240,0.00052540,0.00053110,59138.31000000,577,58.0,0.0
2018-04-03 17:00:00,0.00053120,0.00053580,0.00053120,0.00053460,47116.25000000,600,0.0,0.0
2018-04-03 18:00:00,0.00053470,0.00053660,0.00052320,0.00052660,62946.11000000,1063,0.0,0.0
2018-04-03 19:00:00,0.00052630,0.00053260,0.00052530,0.00053150,34649.88000000,615,0.0,0.0
2018-04-03 20:00:00,0.00053160,0.00053170,0.00052570,0.00052810,49715.13000000,565,0.0,0.0
2018-04-03 21:00:00,0.00052880,0.00053370,0.00052720,0.00053080,34219.58000000,517,41.0,0.0
2018-04-03 22:00:00,0.00053220,0.00054590,0.00053100,0.00053500,49919.15000000,1092,0.0,0.0
2018-04-03 23:00:00,0.00053480,0.00054290,0.00053400,0.00054290,44176.84000000,573,0.0,0.0
2018-04-04 00:00:00,0.00054290,0.00054640,0.00053690,0.00054260,20000.22000000,563,0.0,0.0
2018-04-04 01:00:00,0.00054260,0.00054600,0.00053330,0.00053510,36945.34000000,604,0.0,0.0
