date,open,high,low,close,volume,number of trades,0x ZRX,sentiment
2018-04-01 00:00:00,0.00007865,0.00008193,0.00007862,0.00008011,300773.00000000,1020,0.0,-0.06666666666666667
2018-04-01 01:00:00,0.00008014,0.00008185,0.00007999,0.00008174,180150.00000000,521,0.0,0.04636363636363636
2018-04-01 02:00:00,0.00008175,0.00008250,0.00007980,0.00007987,217924.00000000,665,11.0,0.0
2018-04-01 03:00:00,0.00007987,0.00008114,0.00007970,0.00008023,203511.00000000,391,0.0,0.26041666666666663
2018-04-01 04:00:00,0.00008022,0.00008125,0.00008006,0.00008099,78619.00000000,215,0.0,0.0
2018-04-01 05:00:00,0.00008100,0.00008128,0.00008004,0.00008052,64659.00000000,203,0.0,0.0
2018-04-01 06:00:00,0.00008032,0.00008085,0.00007898,0.00007898,104061.00000000,396,0.0,-0.0625
2018-04-01 07:00:00,0.00007898,0.00007920,0.00007658,0.00007780,156286.00000000,705,0.0,0.05543154761904762
2018-04-01 08:00:00,0.00007779,0.00007889,0.00007651,0.00007674,157112.00000000,458,0.0,0.0
2018-04-01 09:00:00,0.00007675,0.00007726,0.00007601,0.00007636,210221.00000000,407,0.0,0.0
2018-04-01 10:00:00,0.00007657,0.00007671,0.00007611,0.00007637,23502.00000000,137,18.0,0.33333333333333337
2018-04-01 11:00:00,0.00007641,0.00007643,0.00007500,0.00007542,113311.00000000,385,8.0,0.08409090909090909
2018-04-01 12:00:00,0.00007549,0.00007563,0.00007443,0.00007455,78732.00000000,317,8.0,0.0
2018-04-01 13:00:00,0.00007480,0.00007480,0.00007350,0.00007383,93375.00000000,297,7.0,0.14772727272727273
2018-04-01 14:00:00,0.00007382,0.00007383,0.00007250,0.00007293,201898.00000000,551,0.0,0.022727272727272724
2018-04-01 15:00:00,0.00007279,0.00007352,0.00007252,0.00007348,88609.00000000,262,7.0,0.625
2018-04-01 16:00:00,0.00007331,0.00007600,0.00007331,0.00007510,254925.00000000,725,0.0,0.0
2018-04-01 17:00:00,0.00007527,0.00007646,0.00007425,0.00007634,119299.00000000,422,7.0,0.0
2018-04-01 18:00:00,0.00007601,0.00007649,0.00007496,0.00007514,77626.00000000,257,7.0,0.0
2018-04-01 19:00:00,0.00007512,0.00007599,0.00007457,0.00007464,56235.00000000,224,0.0,0.0
2018-04-01 20:00:00,0.00007465,0.00007523,0.00007406,0.00007440,46406.00000000,184,0.0,0.0
2018-04-01 21:00:00,0.00007453,0.00007465,0.00007375,0.00007386,75621.00000000,266,9.0,0.0
2018-04-01 22:00:00,0.00007383,0.00007456,0.00007358,0.00007385,54169.00000000,165,19.0,0.0
2018-04-01 23:00:00,0.00007369,0.00007417,0.00007360,0.00007411,25063.00000000,114,0.0,0.0
2018-04-02 00:00:00,0.00007393,0.00007481,0.00007380,0.00007481,60812.00000000,180,10.0,0.0
2018-04-02 01:00:00,0.00007447,0.00007480,0.00007388,0.00007414,52046.00000000,171,0.0,0.0
2018-04-02 02:00:00,0.00007400,0.00007650,0.00007366,0.00007540,153171.00000000,344,10.0,0.0
2018-04-02 03:00:00,0.00007540,0.00007545,0.00007465,0.00007537,22155.00000000,116,0.0,0.0
2018-04-02 04:00:00,0.00007515,0.00007578,0.00007466,0.00007531,46046.00000000,139,0.0,0.0
2018-04-02 05:00:00,0.00007531,0.00007647,0.00007531,0.00007614,44931.00000000,189,11.0,0.0
2018-04-02 06:00:00,0.00007619,0.00007663,0.00007554,0.00007585,48717.00000000,175,0.0,0.0
2018-04-02 07:00:00,0.00007569,0.00007620,0.00007463,0.00007546,34834.00000000,204,9.0,0.0
2018-04-02 08:00:00,0.00007544,0.00007607,0.00007505,0.00007505,35012.00000000,183,0.0,0.0
2018-04-02 09:00:00,0.00007529,0.00007564,0.00007467,0.00007530,22612.00000000,169,0.0,0.0
2018-04-02 10:00:00,0.00007497,0.00007548,0.00007380,0.00007521,66916.00000000,242,0.0,0.0
