date,open,high,low,close,volume,number of trades,Monero XMR,sentiment
2018-04-01 00:00:00,0.02559600,0.02594100,0.02545000,0.02572400,1783.10700000,1485,16.0,0.11666666666666668
2018-04-01 01:00:00,0.02576500,0.02587500,0.02566100,0.02584500,1386.24400000,479,4.0,0.1
2018-04-01 02:00:00,0.02584500,0.02593000,0.02577300,0.02588200,791.63700000,510,21.0,0.0
2018-04-01 03:00:00,0.02588400,0.02594100,0.02581100,0.02588700,644.12500000,319,17.0,0.07857142857142857
2018-04-01 04:00:00,0.02593700,0.02594900,0.02584600,0.02585500,1066.94200000,329,8.0,0.0
2018-04-01 05:00:00,0.02585900,0.02592400,0.02577200,0.02582200,626.65200000,414,8.0,0.08333333333333334
2018-04-01 06:00:00,0.02582200,0.02591300,0.02556100,0.02559600,496.22500000,560,10.0,0.0
2018-04-01 07:00:00,0.02556000,0.02559000,0.02528500,0.02542400,752.90800000,711,9.0,0.0
2018-04-01 08:00:00,0.02542300,0.02568200,0.02542300,0.02555500,1052.98500000,475,14.0,0.0
2018-04-01 09:00:00,0.02555600,0.02582800,0.02550000,0.02579100,1191.89000000,537,5.0,0.03354166666666667
2018-04-01 10:00:00,0.02579100,0.02593500,0.02554200,0.02555100,1069.33300000,497,10.0,0.275
2018-04-01 11:00:00,0.02554900,0.02573600,0.02551400,0.02555600,1287.23500000,443,9.0,-0.09722222222222222
2018-04-01 12:00:00,0.02564900,0.02605000,0.02560300,0.02597200,1846.28400000,678,11.0,0.0
2018-04-01 13:00:00,0.02598000,0.02603000,0.02552600,0.02554600,887.33700000,830,13.0,0.25
2018-04-01 14:00:00,0.02555600,0.02557800,0.02520100,0.02534000,1236.93200000,761,11.0,0.25520833333333337
2018-04-01 15:00:00,0.02533500,0.02539300,0.02526600,0.02532900,997.39000000,525,8.0,-0.02676767676767677
2018-04-01 16:00:00,0.02532800,0.02549000,0.02516800,0.02536600,2506.08000000,815,7.0,0.0
2018-04-01 17:00:00,0.02536400,0.02560500,0.02531600,0.02560500,799.19700000,580,13.0,0.0
