date,open,high,low,close,volume,number of trades,DigixDAO DGD,sentiment
2018-04-01 00:00:00,0.03515700,0.03532600,0.03419300,0.03430800,1381.46600000,1044,0.0,0.0
2018-04-01 01:00:00,0.03431100,0.03479500,0.03421100,0.03455600,1037.04700000,581,28.0,0.0
2018-04-01 02:00:00,0.03446900,0.03460000,0.03425000,0.03452000,668.80200000,393,0.0,0.5
2018-04-01 03:00:00,0.03452800,0.03460000,0.03444400,0.03450100,1168.28200000,391,0.0,0.0
2018-04-01 04:00:00,0.03453800,0.03460400,0.03444800,0.03447500,958.92500000,373,0.0,0.0
2018-04-01 05:00:00,0.03447500,0.03485100,0.03438200,0.03473600,997.03200000,430,29.0,0.21428571428571427
2018-04-01 06:00:00,0.03472700,0.03490000,0.03452700,0.03474000,1095.53000000,593,0.0,0.0
2018-04-01 07:00:00,0.03475100,0.03545000,0.03475000,0.03483900,1535.80700000,1232,0.0,0.0
2018-04-01 08:00:00,0.03479100,0.03495000,0.03440700,0.03462300,998.60500000,593,23.0,0.0
2018-04-01 09:00:00,0.03449000,0.03458700,0.03420000,0.03439200,914.40900000,493,0.0,0.0
2018-04-01 10:00:00,0.03433200,0.03456000,0.03420000,0.03446100,750.42400000,424,0.0,0.0
2018-04-01 11:00:00,0.03443100,0.03449400,0.03419300,0.03424500,898.63200000,416,0.0,0.0
2018-04-01 12:00:00,0.03424600,0.03437200,0.03419900,0.03420000,946.12600000,380,0.0,0.0
2018-04-01 13:00:00,0.03424600,0.03431700,0.03359600,0.03361200,1074.57800000,965,0.0,0.0
2018-04-01 14:00:00,0.03361000,0.03370700,0.03221300,0.03272400,2399.69500000,2352,0.0,-0.2
2018-04-01 15:00:00,0.03267000,0.03288600,0.03224100,0.03246300,1522.85200000,891,0.0,0.0
2018-04-01 16:00:00,0.03254500,0.03325600,0.03234300,0.03306900,1577.24600000,1290,0.0,0.0
2018-04-01 17:00:00,0.03305400,0.03315000,0.03259600,0.03286900,957.87100000,681,17.0,0.0
2018-04-01 18:00:00,0.03286900,0.03299000,0.03252000,0.03284300,868.72900000,636,0.0,-0.2263888888888889
2018-04-01 19:00:00,0.03280400,0.03330000,0.03272400,0.03290300,1080.24100000,691,19.0,0.5
2018-04-01 20:00:00,0.03290200,0.03294900,0.03270000,0.03281600,1082.96700000,410,0.0,0.06565656565656566
2018-04-01 21:00:00,0.03281500,0.03291600,0.03222300,0.03239200,1176.53300000,895,0.0,0.0
2018-04-01 22:00:00,0.03239200,0.03258100,0.03194500,0.03227300,1081.85300000,1111,0.0,0.0
2018-04-01 23:00:00,0.03227900,0.03270000,0.03215600,0.03236300,965.33900000,518,27.0,0.0
2018-04-02 00:00:00,0.03240800,0.03262200,0.03190000,0.03218600,1114.98000000,607,0.0,0.0
2018-04-02 01:00:00,0.03224800,0.03241400,0.03195000,0.03212500,542.52900000,435,0.0,0.0
2018-04-02 02:00:00,0.03210100,0.03218100,0.03190100,0.03197400,1002.32800000,411,0.0,0.0
2018-04-02 03:00:00,0.03195200,0.03219000,0.03190100,0.03209300,1091.00500000,428,0.0,0.3
2018-04-02 04:00:00,0.03209300,0.03230000,0.03201400,0.03221800,1260.87700000,462,0.0,0.0
